Activity Name,Min Age,Max Age,Base Price,Price per Child,Price per Adult,Age Based Notes,Location,Website
Robber's Cave,0,99,0,0,0,,"Wilburton, OK",https://www.robberscavestatepark.com/
Magnolia Market in Waco,0,99,0,0,0,,"Waco, TX",https://magnolia.com/visit/shop/magnolia-market/
Ammon Carter Museum,0,99,0,0,0,,"Fort Worth, TX",https://www.cartermuseum.org/
Klyde Warren Park,0,99,0,0,0,,"Dallas, TX",https://www.klydewarrenpark.org/
Movies,0,99,10,10,10,Average Cost,"Roanoke, TX",https://www.cinemark.com/landing-page
Mammoth Monument Exhibit in Waco,0,99,5,5,6,3 and under free,"Waco, TX",https://www.nps.gov/waco/index.htm
Zingerz Comedy Club,0,99,10,10,15,,"Hurst, TX",https://zingerzcomedyclub.com/bedford
Roller Skating,,,,,,,,
Kids Mania,,,,,,,,
Texas Rangers Museum,,,,,,,,
Lunar Mini Golf,,,,,,,,
Fort Worth Botanical Gardens,,,,,,,,
Dr Pepper Museum Experience,,,,,,,,
Video Game Museum,,,,,,,,
Dr Pepper Museum in Waco,,,,,,,,
Arcade 92,,,,,,,,
Main Event,,,,,,,,
Game Time (aka ITZ),,,,,,,,
Tornado Terry,,,,,,,,
Science and History Museum,,,,,,,,
Ice Skating,,,,,,,,
Fort Worth Zoo,,,,,,,,
Dallas Zoo,,,,,,,,
Go Karts and Mini Golf,,,,,,,,
Space Cavern,,,,,,,,
River Tubing,,,,,,,,
Dallas Arboretum,,,,,,,,
Rock Climbing Gym,,,,,,,,
Bowling,,,,,,,,
Urban Air,,,,,,,,
Dallas Perot Museum,,,,,,,,
Axe Throwing,,,,,,,,
Escape Room,,,,,,,,
Top Golf,,,,,,,,
MagiQuest at Great Wolf Lodge,,,,,,,,
AlleyCatz,,,,,,,,
Meow Wolf,,,,,,,,
Great Wolf Lodge Half a Day,,,,,,,,
Six Flags,,,,,,,,
Whitewater Rafting,,,,,,,,
Dinner Cruise,,,,,,,,
Rent a Boat,,,,,,,,
Great Wolf Lodge Full Day,,,,,,,,
